Mn,Co,Fe,Lattice parameter
0.1484,0.24206,0.60954,3.90643
0.14398,0.22493,0.63109,3.91282
0.14113,0.19822,0.66065,3.91259
0.12978,0.16847,0.70175,3.91208
0.13997,0.16922,0.69081,3.91118
0.11677,0.16575,0.71748,3.91486
0.17077,0.29949,0.52974,3.90388
0.15422,0.36236,0.48342,3.89704
0.13745,0.23404,0.62851,3.92333
0.11162,0.19729,0.69109,3.92043
0.09544,0.17398,0.73058,3.91931
0.11066,0.15573,0.73361,3.91634
0.09686,0.15573,0.74741,3.91329
0.13813,0.26794,0.59393,3.92227
0.13191,0.33032,0.53777,3.91562
0.09417,0.201,0.70483,3.93896
0.09064,0.15996,0.7494,3.93242
0.09335,0.15644,0.75021,3.92712
0.09701,0.14787,0.75512,3.92196
0.12161,0.24626,0.63213,3.93323
0.08895,0.29102,0.62003,3.93791
0.06976,0.17332,0.75692,3.94361
0.05119,0.15853,0.79028,3.94672
0.07573,0.14452,0.77975,3.93462
0.07669,0.20586,0.71745,3.9302
0.07307,0.20873,0.7182,3.94221
0.09593,0.26412,0.63995,3.9445
0.05397,0.194,0.75203,3.94814
0.07376,0.17025,0.75599,3.95165
0.04401,0.19021,0.76578,3.94381
0.0411,0.23396,0.72494,3.91749
0.05397,0.194,0.75203,3.9441
0.04401,0.19021,0.76578,3.94414
0.18192,0.28244,0.53564,3.89801
0.17927,0.24663,0.5741,3.90777
0.17289,0.21158,0.61553,3.90951
0.17498,0.18672,0.6383,3.91014
0.15593,0.17029,0.67378,3.91052
0.16303,0.17921,0.65776,3.91279
0.2066,0.33523,0.45817,3.89535
0.19622,0.37029,0.43349,3.89011
0.23272,0.29609,0.47119,3.8948
0.23528,0.26495,0.49977,3.8965
0.21142,0.22046,0.56812,3.91181
0.20986,0.21813,0.57201,3.90915
0.17954,0.18828,0.63218,3.90848
0.20064,0.18049,0.61887,3.89975
0.23243,0.33496,0.43261,3.89268
0.25304,0.37559,0.37138,3.88973
0.35558,0.26679,0.37763,3.89755
0.32263,0.26073,0.41664,3.90348
0.36872,0.22582,0.40546,3.91059
0.34582,0.21516,0.43902,3.9164
0.29072,0.21094,0.49834,3.9187
0.30463,0.21794,0.47743,3.91573
0.38844,0.29106,0.32049,3.89408
0.33711,0.34823,0.31466,3.89338
0.41143,0.27359,0.31498,3.89928
0.40092,0.24717,0.35191,3.9111
0.38818,0.23216,0.37966,3.91842
0.39286,0.22008,0.38706,3.92233
0.36358,0.21515,0.42127,3.9234
0.43889,0.27843,0.28268,3.89442
0.42133,0.31243,0.26625,3.89465
0.48986,0.23536,0.27478,3.91323
0.4795,0.23197,0.28853,3.91493
0.48135,0.20791,0.31074,3.93064
0.45751,0.20959,0.33289,3.92411
0.45077,0.20377,0.34545,3.92086
0.49803,0.24856,0.25341,3.89385
0.49827,0.27228,0.22945,3.89517
