Mn,Fe,Co,Wavenumber at Imax. (1/cm)
0.714256383,0.157042569,0.128701048,636.492
0.466492594,0.192850116,0.34065729,633.275
0.816025114,0.113358764,0.070616123,635.849
0.653642725,0.223054617,0.123302658,635.849
0.880216395,0.076087966,0.043695639,633.275
0.77706533,0.146351435,0.076583235,634.562
0.561548736,0.144358403,0.294092862,635.849
0.380791158,0.140800678,0.478408164,630.057
0.295634598,0.175699617,0.528662249,634.562
0.204908899,0.102277878,0.692813224,631.344
0.510255199,0.298370793,0.191374007,636.492
0.512056689,0.392567452,0.095375859,635.206
0.26954003,0.062369769,0.668090202,653.174
0.733496845,0.124022842,0.142483796,644.842
0.293455356,0.13511167,0.571432974,635.849
0.466492594,0.192850116,0.34065729,632.632
0.788588595,0.136066631,0.075344774,631.988
0.799459826,0.12407979,0.076460384,635.206
0.597799995,0.039414469,0.362785536,639.062
0.516106557,0.204227447,0.279662571,637.777
0.615490451,0.252981317,0.131528232,635.849
0.774633462,0.13179709,0.093569447,634.562
0.266449433,0.062917215,0.670633353,657.653
0.7315081,0.124329379,0.144165888,641.632
0.805162893,0.118458677,0.076381665,642.274
0.174042935,0.098123226,0.727833839,655.093
0.784927382,0.110999074,0.104073543,640.348
0.640101811,0.134650973,0.225247216,641.632
0.173196371,0.097476658,0.729326972,652.533
0.279414472,0.291047705,0.429534456,632.632
0.403457626,0.261051692,0.335487388,633.919
0.667123764,0.209804752,0.123071484,637.777
0.4905551,0.216130471,0.293311149,636.492
0.213733986,0.180652639,0.605606877,642.274
0.729089725,0.087150068,0.183763557,642.915
0.663972095,0.122137993,0.213889912,639.705
0.552558557,0.225643249,0.221794913,637.777
0.355074675,0.095552966,0.549372359,629.413
0.602894266,0.229986946,0.167118788,636.492
0.404397423,0.082501468,0.513101109,631.988
0.694025889,0.138425581,0.16754853,637.134
0.476815489,0.045845595,0.477338916,631.988
0.30862636,0.329437202,0.361936439,633.919
0.883564856,0.075238241,0.041196903,633.275
0.35073536,0.072288216,0.576976424,651.252
0.620608485,0.248265664,0.131125851,636.492
0.664001566,0.122056597,0.213941837,639.705
0.459325023,0.294276218,0.246395466,636.492
0.712562329,0.154957008,0.132480664,637.134
0.730974465,0.08586231,0.18316668,645.483
0.705796767,0.128093312,0.166109922,637.777
0.628462008,0.144286423,0.227251568,639.062
0.425426039,0.270819677,0.30375083,635.849
0.202847152,0.101984786,0.695168062,652.533
0.62148707,0.247256847,0.131256083,635.849
0.635637378,0.132947152,0.231415469,638.42
0.379658912,0.23749855,0.382842539,631.988
0.797782633,0.124333339,0.077884028,630.701
0.579669501,0.293974907,0.126355592,637.134
0.739773226,0.146153863,0.114072912,633.275
0.302993118,0.371632992,0.32537389,635.651
0.814290186,0.113213668,0.072496147,638.42
0.204908899,0.102277878,0.692813224,644.199
0.88690142,0.075888958,0.037209621,629.413
0.562377438,0.31178463,0.125837932,637.134
0.615082734,0.100214052,0.284703214,640.348
0.482773888,0.082501468,0.434724644,633.275
0.327802328,0.169009676,0.503184681,630.701
0.25109266,0.382931703,0.365975637,636.492
0.361289638,0.534552319,0.104158042,641.632
0.235353001,0.220858795,0.54378166,642.274
0.079337584,0.835133806,0.085528609,644.199
0.184951055,0.15362724,0.661418355,662.765
0.078228702,0.838134035,0.083637263,641.632
0.108216407,0.702784417,0.188999176,646.765
0.054740923,0.807292494,0.137966583,642.274
0.178576419,0.321858241,0.499568582,664.042
0.424237427,0.319416464,0.256346109,636.492
0.285133893,0.602001039,0.112868423,648.689
0.207880425,0.553664249,0.238451936,651.252
0.16432615,0.521963271,0.313710579,660.848
0.172404981,0.423903525,0.403691494,663.403
0.258396774,0.741603226,0,636.492
0.162944987,0.127450109,0.709601737,658.291
0.3952452,0.45864279,0.146112011,636.492
0.342930477,0.548134977,0.108934546,646.124
0.185919042,0.299888854,0.514195373,665.319
0.04186074,0.864032925,0.094106334,643.558
0.175179056,0.450681014,0.374143272,662.126
0.119269886,0.756067437,0.124662677,642.915
0.172511271,0.368413091,0.459079123,666.595
0.178576419,0.321858241,0.499568582,663.403
0.204399288,0.202775733,0.592821571,664.681
0.361289638,0.534552319,0.104158042,640.989
0.414226513,0.545264444,0.040509043,636.492
0.256272245,0.596102793,0.147624962,648.048
0.297876536,0.475008307,0.227111768,641.632
0.142255941,0.673622951,0.184124386,645.483
0.218682524,0.514712586,0.266601695,653.174
0.140428925,0.715639974,0.143931102,645.483
0.146592686,0.54401942,0.309387894,657.653
0.202449903,0.397957155,0.399596337,666.595
0.184270199,0.647192106,0.16854121,646.765
0.355407035,0.443189026,0.201400744,636.492
0.272183853,0.393830918,0.333985229,639.705
0.117082626,0.140622795,0.742291421,654.453
0.127949932,0.704264971,0.167785097,646.765
0.171189426,0.646911364,0.18189921,649.971
0.186223529,0.665895075,0.14788475,647.407
0.266312595,0.298560469,0.435126936,635.206
0.224644203,0.335066796,0.440289001,660.21
0.189062132,0.486346309,0.324591559,659.57
0.308403603,0.609102487,0.08249391,640.989
0.414636741,0.543309347,0.042053912,636.492
0.278754343,0.459323293,0.26191895,640.989
0.107614887,0.742690735,0.149694378,644.842
0.056589582,0.806282148,0.13712827,646.124
0.163171527,0.56037931,0.276449163,653.174
0.134709636,0.6305767,0.234713664,650.611
0.235353001,0.220858795,0.54378166,640.989
0.25142486,0.74857514,0,646.765
0.040493241,0.863156679,0.096350081,642.274
0.15335471,0.59290092,0.25374437,649.971
0.12713555,0.732908964,0.139958763,645.483
0.183253789,0.272441483,0.544304728,661.487
0.127660546,0.195149524,0.67718993,665.957
0.201308794,0.188489717,0.610198053,657.013
0.16432615,0.521963271,0.313710579,660.21
0.162689971,0.129973213,0.70733345,661.487
0.118681246,0.722896117,0.158422637,644.199
0.227201827,0.568901456,0.203893347,649.971
0.135648305,0.626951882,0.237399813,654.453
0.209321014,0.419244351,0.371434634,656.372
0.192697037,0.270272182,0.53702756,658.931
0.164190615,0.522739799,0.313069586,657.653
0.412366108,0.548201018,0.039432874,635.849
0.511317166,0.354362642,0.134320192,635.849
0.094787691,0.726825948,0.178386361,644.199
0.140428925,0.715639974,0.143931102,649.33
