Mn,Co,Fe,log(k*)400ºC (cm/s)
0.1341,0.54052,0.32538,-9.001795606
0.34283,0.45955,0.19762,-9.362016216
0.20703,0.55778,0.23519,-9.332906773
0.51031,0.33799,0.1517,-9.933256756
0.54359,0.32059,0.13582,-10.70013983
0.43105,0.42042,0.14852,-10.14829963
0.29928,0.52873,0.17199,-9.438159513
0.16821,0.64238,0.18941,-9.148726359
0.11683,0.64778,0.23539,-9.094115651
0.10111,0.72017,0.17872,-8.947156062
0.14496,0.68936,0.16568,-9.147227322
0.22002,0.6338,0.14618,-9.207120354
0.32348,0.53852,0.138,-9.597671544
0.37403,0.46904,0.15693,-10.27505681
0.43868,0.41364,0.14767,-10.42759546
0.27088,0.58775,0.14137,-9.822772377
0.20872,0.66375,0.12753,-9.217151293
0.16125,0.69644,0.14231,-9.082954761
0.11883,0.74038,0.14079,-9.016596555
0.11475,0.74656,0.13869,-8.914409766
0.09655,0.79803,0.10542,-9.03258074
0.14077,0.7324,0.12683,-9.09813972
0.15344,0.71914,0.12742,-9.229925261
0.21774,0.65238,0.12988,-9.684075814
0.60214,0.25847,0.13939,-11.13761635
0.58908,0.2662,0.14472,-11.104814
0.58908,0.2662,0.14472,-11.07591309
0.53949,0.29981,0.1607,-10.72893943
0.53949,0.29981,0.1607,-10.61742288
0.49042,0.3313,0.17828,-10.65573548
0.47431,0.35211,0.17358,-10.24742687
0.39886,0.3985,0.20264,-10.03910132
0.39886,0.3985,0.20264,-9.779763736
0.31477,0.44998,0.23525,-9.574650035
0.29259,0.46282,0.24459,-9.455642936
0.26123,0.49102,0.24775,-9.515328677
0.23133,0.506,0.26267,-9.327410836
0.23133,0.506,0.26267,-9.295456564
0.19963,0.51754,0.28283,-9.281203622
0.1663,0.53506,0.29864,-9.261491357
0.16719,0.51907,0.31374,-9.295717327
0.13998,0.49063,0.36939,-9.252536919
0.15039,0.45609,0.39352,-9.20744443
0.15039,0.45609,0.39352,-9.171132671
0.09558,0.42435,0.48007,-9.15390423
0.09558,0.42435,0.48007,-9.16718974
0.09927,0.40117,0.49956,-9.035300168
0.09927,0.40117,0.49956,-9.01181932
0.13061,0.44777,0.42162,-8.962880406
0.15047,0.47297,0.37656,-8.977938852
0.15047,0.47297,0.37656,-9.012508918
0.18875,0.47852,0.33273,-9.158469724
0.18875,0.47852,0.33273,-9.277230382
0.23431,0.48277,0.28292,-9.304675959
0.23431,0.48277,0.28292,-9.372421146
0.29016,0.43999,0.26985,-9.51844702
0.33736,0.42047,0.24217,-9.625260816
0.37214,0.39177,0.23609,-9.778241593
0.37214,0.39177,0.23609,-9.8127896
0.44576,0.34177,0.21247,-9.954199951
0.44576,0.34177,0.21247,-10.10159737
0.4772,0.32197,0.20083,-10.35338261
0.54485,0.28254,0.17261,-10.62883235
0.57287,0.26829,0.15884,-10.86319068
0.6146,0.24958,0.13582,-11.00847445
0.6146,0.24958,0.13582,-11.03002992
0.62659,0.2382,0.13521,-11.10852276
0.6146,0.24958,0.13582,-11.01559917
0.57287,0.26829,0.15884,-10.91986436
0.54485,0.28254,0.17261,-10.38043192
0.50471,0.30946,0.18583,-10.14828069
0.4772,0.32197,0.20083,-9.922178049
0.44576,0.34177,0.21247,-9.713247215
0.40313,0.36857,0.2283,-9.686449129
0.37214,0.39177,0.23609,-9.673408145
0.33736,0.42047,0.24217,-9.500911171
0.29016,0.43999,0.26985,-9.424044733
0.27578,0.4525,0.27172,-9.345615509
0.23431,0.48277,0.28292,-9.286679176
0.20879,0.48353,0.30768,-9.239975048
0.18875,0.47852,0.33273,-9.19802995
0.17618,0.48408,0.33974,-9.158671194
0.15047,0.47297,0.37656,-9.009464469
0.13061,0.44777,0.42162,-8.976780474
0.11253,0.42127,0.46621,-8.953692173
0.09927,0.40117,0.49956,-8.998802998
0.10251,0.37179,0.5257,-9.018652171
0.07271,0.32084,0.60645,-9.012221601
0.10448,0.32287,0.57265,-8.992862711
0.12456,0.34385,0.53159,-8.992884072
0.13413,0.37713,0.48873,-8.958311306
0.13359,0.40142,0.46499,-8.98509322
0.15078,0.42316,0.42606,-9.022430482
0.1759,0.43577,0.38833,-9.167995289
0.18658,0.44519,0.36823,-9.231147394
0.21859,0.4405,0.34091,-9.265907775
0.2488,0.43692,0.31428,-9.3240989
0.28017,0.42491,0.29492,-9.414237062
0.32776,0.39839,0.27385,-9.526661956
0.34902,0.39178,0.25919,-9.622067534
0.38286,0.36807,0.24907,-9.700985457
0.41138,0.3536,0.23502,-9.905532365
0.47006,0.32014,0.2098,-10.0592256
0.49718,0.30932,0.1935,-10.25527059
0.53818,0.2772,0.18462,-10.49242071
0.56817,0.25593,0.1759,-10.69689254
0.59854,0.24918,0.15228,-10.74327504
0.62156,0.23424,0.1442,-11.06897868
0.65884,0.20878,0.13238,-11.04320268
0.67145,0.19761,0.13094,-11.18281356
0.68021,0.17637,0.14342,-11.21547186
0.63061,0.21298,0.15641,-11.19108311
0.63061,0.21298,0.15641,-11.05995193
0.60503,0.22652,0.16845,-10.8089544
0.53408,0.25771,0.20821,-10.64079651
0.49827,0.27228,0.22945,-10.2852236
0.47023,0.28358,0.24619,-10.13573996
0.47023,0.28358,0.24619,-9.947036871
0.42133,0.31243,0.26625,-9.779423859
0.33711,0.34823,0.31466,-9.659460708
0.33711,0.34823,0.31466,-9.543659782
0.25824,0.37648,0.36528,-9.39036291
0.25824,0.37648,0.36528,-9.369316912
0.25304,0.37559,0.37138,-9.270185066
0.22338,0.38128,0.39534,-9.228296429
0.15422,0.36236,0.48342,-9.165974347
0.1611,0.34102,0.49788,-9.014132718
0.1611,0.34102,0.49788,-8.987487563
0.13191,0.33032,0.53777,-8.957219791
0.08895,0.29102,0.62003,-8.992849895
0.08895,0.29102,0.62003,-8.992909707
0.09396,0.23952,0.66652,-9.020044381
0.09396,0.23952,0.66652,-8.988488763
0.09593,0.26412,0.63995,-8.964106195
0.08895,0.29102,0.62003,-8.963159597
0.1241,0.29225,0.58365,-8.969570305
0.13191,0.33032,0.53777,-8.995132876
0.1611,0.34102,0.49788,-9.036681181
0.15422,0.36236,0.48342,-9.082696718
0.19622,0.37029,0.43349,-9.274406858
0.22338,0.38128,0.39534,-9.319486816
0.25304,0.37559,0.37138,-9.376927566
0.25824,0.37648,0.36528,-9.394945042
0.31408,0.35989,0.32603,-9.54506829
0.33711,0.34823,0.31466,-9.729099998
0.3807,0.33766,0.28164,-9.882294627
0.42133,0.31243,0.26625,-9.918238761
0.47023,0.28358,0.24619,-10.25108901
0.49827,0.27228,0.22945,-10.40256481
0.53408,0.25771,0.20821,-10.57279475
0.54821,0.24636,0.20543,-10.72451819
0.60503,0.22652,0.16845,-10.8264641
0.63061,0.21298,0.15641,-10.91126518
0.68021,0.17637,0.14342,-11.13182478
0.68693,0.18171,0.13136,-11.09301723
0.66911,0.18209,0.1488,-11.15580437
0.64176,0.19215,0.16609,-11.13241585
0.62221,0.21119,0.1666,-11.08155235
0.58516,0.22233,0.19251,-10.90308651
0.54723,0.24799,0.20478,-10.73277193
0.49497,0.27258,0.23244,-10.47401632
0.46968,0.28089,0.24943,-10.42182857
0.42386,0.29682,0.27932,-10.66258667
0.387,0.31006,0.30294,-10.12051704
0.34107,0.32745,0.33148,-9.883760965
0.29391,0.34643,0.35966,-9.720241827
0.27454,0.35276,0.37271,-9.526808012
0.24355,0.35962,0.39682,-9.36500511
0.2099,0.36858,0.42152,-9.357818506
0.18107,0.35118,0.46775,-9.302635506
0.15956,0.33955,0.50089,-9.168599312
0.15386,0.31808,0.52806,-9.004734332
0.13448,0.29616,0.56936,-8.975830522
0.11109,0.2696,0.61931,-8.966479745
0.10901,0.24426,0.64673,-8.965379564
0.08053,0.2434,0.67607,-8.988175904
0.08419,0.18742,0.72839,-8.864546121
0.08059,0.20056,0.71885,-8.885829538
0.09663,0.21485,0.68852,-8.890553077
0.13745,0.23404,0.62851,-8.948110767
0.1395,0.25463,0.60587,-9.012178275
0.16695,0.26879,0.56426,-9.100161448
0.18616,0.27345,0.54039,-9.30877082
0.19582,0.30284,0.50134,-9.447453452
0.23272,0.29609,0.47119,-9.555525809
0.27029,0.29851,0.4312,-9.777176919
0.30984,0.2862,0.40395,-9.962557565
0.33513,0.29133,0.37354,-10.26758613
0.35989,0.29676,0.34335,-10.36798938
0.41143,0.27359,0.31498,-10.49571812
0.46014,0.25388,0.28598,-10.66503384
0.48959,0.23983,0.27057,-10.87991657
0.52112,0.23102,0.24786,-10.72808408
0.57102,0.21306,0.21592,-10.79160165
0.5941,0.20034,0.20556,-10.84600841
0.63781,0.18812,0.17407,-10.97007268
0.66316,0.17332,0.16352,-10.96022115
0.66758,0.17681,0.15561,-10.90144972
0.62975,0.18453,0.18572,-10.87172677
0.62082,0.1874,0.19178,-10.76565485
