Mn,Co,Fe,Oxygen Diffusion Coefficient - log(D*)_400C (cm^2/s)
0.1341,0.54052,0.32538,-13.16115154
0.34283,0.45955,0.19762,-13.70380006
0.20703,0.55778,0.23519,-13.65994871
0.51031,0.33799,0.1517,-14.56433557
0.54359,0.32059,0.13582,-15.56544227
0.43105,0.42042,0.14852,-14.88828393
0.29928,0.52873,0.17199,-13.81850513
0.16821,0.64238,0.18941,-13.38249328
0.11683,0.64778,0.23539,-13.30022556
0.10111,0.72017,0.17872,-13.07884228
0.14496,0.68936,0.16568,-13.38023487
0.22002,0.6338,0.14618,-13.47045929
0.32348,0.53852,0.138,-14.05879775
0.37403,0.46904,0.15693,-14.76582705
0.43868,0.41364,0.14767,-15.04813329
0.27088,0.58775,0.14137,-14.3978955
0.20872,0.66375,0.12753,-13.48557047
0.16125,0.69644,0.14231,-13.28341242
0.11883,0.74038,0.14079,-13.18344784
0.11475,0.74656,0.13869,-13.02951272
0.09655,0.79803,0.10542,-13.20752706
0.14077,0.7324,0.12683,-13.30628712
0.15344,0.71914,0.12742,-13.5048124
0.21774,0.65238,0.12988,-14.18895881
0.60214,0.25847,0.13939,-16.18682681
0.58908,0.2662,0.14472,-16.09867248
0.58908,0.2662,0.14472,-16.09622545
0.53949,0.29981,0.1607,-15.69823883
0.53949,0.29981,0.1607,-15.420053
0.49042,0.3313,0.17828,-15.30998388
0.47431,0.35211,0.17358,-14.63466929
0.39886,0.3985,0.20264,-14.72378184
0.39886,0.3985,0.20264,-14.33310685
0.31477,0.44998,0.23525,-14.02411805
0.29259,0.46282,0.24459,-13.84484318
0.26123,0.49102,0.24775,-13.93475276
0.23133,0.506,0.26267,-13.65166787
0.23133,0.506,0.26267,-13.60353214
0.19963,0.51754,0.28283,-13.58206188
0.1663,0.53506,0.29864,-13.55236451
0.16719,0.51907,0.31374,-13.60392451
0.13998,0.49063,0.36939,-13.5388768
0.15039,0.45609,0.39352,-13.47094712
0.15039,0.45609,0.39352,-13.41624596
0.09558,0.42435,0.48007,-13.3902925
0.09558,0.42435,0.48007,-13.41030614
0.09927,0.40117,0.49956,-13.21162373
0.09927,0.40117,0.49956,-13.17625198
0.13061,0.44777,0.42162,-13.10253126
0.15047,0.47297,0.37656,-13.12521446
0.15047,0.47297,0.37656,-13.17729004
0.18875,0.47852,0.33273,-13.39716982
0.18875,0.47852,0.33273,-13.57607617
0.23431,0.48277,0.28292,-13.61742108
0.23431,0.48277,0.28292,-13.71947398
0.29016,0.43999,0.26985,-13.93945324
0.33736,0.42047,0.24217,-14.10036113
0.37214,0.39177,0.23609,-14.23720894
0.37214,0.39177,0.23609,-14.39367454
0.44576,0.34177,0.21247,-14.70867556
0.44576,0.34177,0.21247,-14.97601952
0.4772,0.32197,0.20083,-15.56781828
0.54485,0.28254,0.17261,-15.8774794
0.57287,0.26829,0.15884,-16.11525673
0.6146,0.24958,0.13582,-16.29487128
0.6146,0.24958,0.13582,-16.16191821
0.62659,0.2382,0.13521,-16.44462257
0.6146,0.24958,0.13582,-16.28352754
0.57287,0.26829,0.15884,-16.15149806
0.54485,0.28254,0.17261,-15.38493205
0.50471,0.30946,0.18583,-15.06655422
0.4772,0.32197,0.20083,-14.77711972
0.44576,0.34177,0.21247,-14.23290501
0.40313,0.36857,0.2283,-14.19253601
0.37214,0.39177,0.23609,-14.17288996
0.33736,0.42047,0.24217,-13.91303543
0.29016,0.43999,0.26985,-13.79724204
0.27578,0.4525,0.27172,-13.67909177
0.23431,0.48277,0.28292,-13.59030859
0.20879,0.48353,0.30768,-13.51995279
0.18875,0.47852,0.33273,-13.45676536
0.17618,0.48408,0.33974,-13.39747448
0.15047,0.47297,0.37656,-13.17270441
0.13061,0.44777,0.42162,-13.12347041
0.11253,0.42127,0.46621,-13.08868788
0.09927,0.40117,0.49956,-13.15664574
0.10251,0.37179,0.5257,-13.18654445
0.07271,0.32084,0.60645,-13.17685781
0.10448,0.32287,0.57265,-13.14769144
0.12456,0.34385,0.53159,-13.14772561
0.13413,0.37713,0.48873,-13.09564534
0.13359,0.40142,0.46499,-13.13598995
0.15078,0.42316,0.42606,-13.19223638
0.1759,0.43577,0.38833,-13.41151988
0.18658,0.44519,0.36823,-13.5066535
0.21859,0.4405,0.34091,-13.55901854
0.2488,0.43692,0.31428,-13.64668016
0.28017,0.42491,0.29492,-13.78246605
0.32776,0.39839,0.27385,-13.95182631
0.34902,0.39178,0.25919,-14.09554955
0.38286,0.36807,0.24907,-14.21443528
0.41138,0.3536,0.23502,-14.67176519
0.47006,0.32014,0.2098,-14.95247592
0.49718,0.30932,0.1935,-15.25170651
0.53818,0.2772,0.18462,-15.56853652
0.56817,0.25593,0.1759,-16.12110669
0.59854,0.24918,0.15228,-15.99619923
0.62156,0.23424,0.1442,-16.21239077
0.65884,0.20878,0.13238,-16.21223994
0.67145,0.19761,0.13094,-16.41956887
0.68021,0.17637,0.14342,-16.57452284
0.63061,0.21298,0.15641,-16.43577082
0.63061,0.21298,0.15641,-16.4344981
0.60503,0.22652,0.16845,-16.01640348
0.53408,0.25771,0.20821,-15.85674156
0.49827,0.27228,0.22945,-15.08399216
0.47023,0.28358,0.24619,-15.07873294
0.47023,0.28358,0.24619,-14.7271748
0.42133,0.31243,0.26625,-14.33259655
0.33711,0.34823,0.31466,-14.1518805
0.33711,0.34823,0.31466,-13.97743142
0.25824,0.37648,0.36528,-13.74650207
0.25824,0.37648,0.36528,-13.71479837
0.25304,0.37559,0.37138,-13.56546143
0.22338,0.38128,0.39534,-13.50235864
0.15422,0.36236,0.48342,-13.40847573
0.1611,0.34102,0.49788,-13.17973613
0.1611,0.34102,0.49788,-13.1395973
0.13191,0.33032,0.53777,-13.09399916
0.08895,0.29102,0.62003,-13.14767802
0.08895,0.29102,0.62003,-13.14776345
0.09396,0.23952,0.66652,-13.18864153
0.09396,0.23952,0.66652,-13.14110505
0.09593,0.26412,0.63995,-13.10437638
0.08895,0.29102,0.62003,-13.10294832
0.1241,0.29225,0.58365,-13.11260553
0.13191,0.33032,0.53777,-13.15111472
0.1611,0.34102,0.49788,-13.21370369
0.15422,0.36236,0.48342,-13.28302392
0.19622,0.37029,0.43349,-13.57182145
0.22338,0.38128,0.39534,-13.63973233
0.25304,0.37559,0.37138,-13.72626279
0.25824,0.37648,0.36528,-13.75340541
0.31408,0.35989,0.32603,-13.97955584
0.33711,0.34823,0.31466,-14.38902913
0.3807,0.33766,0.28164,-14.4875651
0.42133,0.31243,0.26625,-14.54171275
0.47023,0.28358,0.24619,-15.1918613
0.49827,0.27228,0.22945,-15.38956769
0.53408,0.25771,0.20821,-15.65435578
0.54821,0.24636,0.20543,-15.87176233
0.60503,0.22652,0.16845,-15.86415842
0.63061,0.21298,0.15641,-16.051815
0.68021,0.17637,0.14342,-15.92463555
0.68693,0.18171,0.13136,-16.17471867
0.66911,0.18209,0.1488,-16.24698948
0.64176,0.19215,0.16609,-16.0862317
