Mn,Co,Fe,Ea (eV)
0.1573,0.62922,0.21348,1.74918
0.19355,0.68817,0.11828,1.81117
0.28395,0.61728,0.09877,1.99577
0.29032,0.49462,0.21505,1.20253
0.25556,0.51111,0.23333,1.45354
0.1625,0.475,0.3625,1.58186
0.17188,0.39063,0.4375,1.2298
0.125,0.375,0.5,1.34788
0.23077,0.41026,0.35897,1.23107
0.31395,0.38372,0.30233,1.14915
0.4186,0.36047,0.22093,1.20422
0.57692,0.25641,0.16667,1.32748
0.66216,0.2027,0.13514,1.436
0.67949,0.21795,0.10256,1.33399
0.64935,0.22078,0.12987,1.1708
0.37805,0.29268,0.32927,1.73193
0.2125,0.2375,0.55,1.33848
0.17857,0.15476,0.66667,1.32145
0.39326,0.22472,0.38202,1.52164
0.50575,0.25287,0.24138,1.15753
0.76087,0.13043,0.1087,1.70232
0.70513,0.11538,0.17949,2.05463
0.26761,0.19718,0.53521,1.40733
0.12329,0.12329,0.75342,1.26419
0.16667,0.25,0.58333,1.42018
0.33333,0,0.66667,1.12612
0.48276,0.12069,0.39655,1.18136
0.625,0.16071,0.21429,1.25413
,,,
,,,
,,,
