Mn,Co,Fe,log(Preexponential Factor) (Ω·cm2·K-1)
0.1573,0.62922,0.21348,-11.26769633
0.19355,0.68817,0.11828,-11.24745374
0.28395,0.61728,0.09877,-12.37081474
0.29032,0.49462,0.21505,-8.400370158
0.25556,0.51111,0.23333,-9.197877863
0.1625,0.475,0.3625,-10.25579388
0.17188,0.39063,0.4375,-8.271978357
0.125,0.375,0.5,-9.055740948
0.23077,0.41026,0.35897,-8.536290618
0.31395,0.38372,0.30233,-8.092623578
0.4186,0.36047,0.22093,-8.063076284
0.57692,0.25641,0.16667,-9.166693485
0.66216,0.2027,0.13514,-9.144529304
0.67949,0.21795,0.10256,-8.80620499
0.64935,0.22078,0.12987,-8.119960255
0.37805,0.29268,0.32927,-10.97490314
0.2125,0.2375,0.55,-9.44520809
0.17857,0.15476,0.66667,-9.308251216
0.39326,0.22472,0.38202,-10.35720716
0.50575,0.25287,0.24138,-8.046310361
0.76087,0.13043,0.1087,-10.80577991
0.70513,0.11538,0.17949,-12.42385107
0.26761,0.19718,0.53521,-9.532483646
0.12329,0.12329,0.75342,-9.198381597
0.16667,0.25,0.58333,-9.599532816
0.33333,0,0.66667,-8.055245485
0.48276,0.12069,0.39655,-8.013380071
0.625,0.16071,0.21429,-8.439802746
,,,
,,,
,,,
