Mn,Fe,Co,Oxygen Diffusion Coefficient - log(D*)_400C (cm^2/s)
1,0,0,-16.16058438
0.995983936,0,0.004016064,-16.16058438
0.991967871,0,0.008032129,-16.16058438
0.987951807,0,0.012048193,-16.16058438
0.983935743,0,0.016064257,-16.16058438
0.979919679,0,0.020080321,-16.16058438
0.975903614,0,0.024096386,-16.16058438
0.97188755,0,0.02811245,-16.16058438
0.967871486,0,0.032128514,-16.16058438
0.963855422,0,0.036144578,-16.16058438
0.959839357,0,0.040160643,-16.16058438
0.955823293,0,0.044176707,-16.16058438
0.951807229,0,0.048192771,-16.16058438
0.947791165,0,0.052208835,-16.16058438
0.9437751,0,0.0562249,-16.16058438
0.939759036,0,0.060240964,-16.16058438
0.935742972,0,0.064257028,-16.16058438
0.931726908,0,0.068273092,-16.16058438
0.927710843,0,0.072289157,-16.16058438
0.923694779,0,0.076305221,-16.16058438
0.919678715,0,0.080321285,-16.16058438
0.915662651,0,0.084337349,-16.16058438
0.911646586,0,0.088353414,-16.16058438
0.907630522,0,0.092369478,-16.16058438
0.903614458,0,0.096385542,-16.16058438
0.899598394,0,0.100401606,-16.16058438
0.895582329,0,0.104417671,-16.16058438
0.891566265,0,0.108433735,-16.16058438
0.887550201,0,0.112449799,-16.16058438
0.883534137,0,0.116465863,-16.16058438
0.879518072,0,0.120481928,-16.16058438
0.875502008,0,0.124497992,-16.16058438
0.871485944,0,0.128514056,-16.16058438
0.86746988,0,0.13253012,-16.16058438
0.863453815,0,0.136546185,-16.1607467
0.859437751,0,0.140562249,-16.1607467
0.855421687,0,0.144578313,-16.1607467
0.851405622,0,0.148594378,-16.1607467
0.847389558,0,0.152610442,-16.1607467
0.843373494,0,0.156626506,-16.1607467
0.83935743,0,0.16064257,-16.1607467
0.835341365,0,0.164658635,-16.1607467
0.831325301,0,0.168674699,-16.1607467
0.827309237,0,0.172690763,-16.1607467
0.823293173,0,0.176706827,-16.1607467
0.819277108,0,0.180722892,-16.1607467
0.815261044,0,0.184738956,-16.1607467
0.81124498,0,0.18875502,-16.16060537
0.807228916,0,0.192771084,-16.16060537
0.803212851,0,0.196787149,-16.16009495
0.799196787,0,0.200803213,-16.16009495
0.795180723,0,0.204819277,-16.16009495
0.791164659,0,0.208835341,-16.16009495
0.787148594,0,0.212851406,-16.16009495
0.78313253,0,0.21686747,-16.16009495
0.779116466,0,0.220883534,-16.16009495
0.775100402,0,0.224899598,-16.16009495
0.771084337,0,0.228915663,-16.16009495
0.767068273,0,0.232931727,-16.16009495
0.763052209,0,0.236947791,-16.16009495
0.759036145,0,0.240963855,-16.16009495
0.75502008,0,0.24497992,-16.16009495
0.751004016,0,0.248995984,-16.16009495
0.746987952,0,0.253012048,-16.15651515
0.742971888,0,0.257028112,-16.15651515
0.738955823,0,0.261044177,-16.15651515
0.734939759,0,0.265060241,-16.15225365
0.730923695,0,0.269076305,-16.1401754
0.726907631,0,0.273092369,-16.1401754
0.722891566,0,0.277108434,-16.08565824
0.718875502,0,0.281124498,-16.08565824
0.714859438,0,0.285140562,-16.08565824
0.710843373,0,0.289156627,-16.08140645
0.706827309,0,0.293172691,-16.08140645
0.702811245,0,0.297188755,-16.05574628
0.698795181,0,0.301204819,-15.99586835
0.694779116,0,0.305220884,-15.99586835
0.690763052,0,0.309236948,-15.93829213
0.686746988,0,0.313253012,-15.87780367
0.682730924,0,0.317269076,-15.85094319
0.678714859,0,0.321285141,-15.85227563
0.674698795,0,0.325301205,-15.8396163
