Mn,Fe,Co,Activation Energy - E_a (eV)
1,0,0,1.675249717
0.995983936,0,0.004016064,1.675249717
0.991967871,0,0.008032129,1.675249717
0.987951807,0,0.012048193,1.675249717
0.983935743,0,0.016064257,1.675249717
0.979919679,0,0.020080321,1.675249717
0.975903614,0,0.024096386,1.675249717
0.97188755,0,0.02811245,1.675249717
0.967871486,0,0.032128514,1.675249717
0.963855422,0,0.036144578,1.675249717
0.959839357,0,0.040160643,1.675249717
0.955823293,0,0.044176707,1.675249717
0.951807229,0,0.048192771,1.675249717
0.947791165,0,0.052208835,1.675249717
0.9437751,0,0.0562249,1.675249717
0.939759036,0,0.060240964,1.675249717
0.935742972,0,0.064257028,1.675249717
0.931726908,0,0.068273092,1.675249717
0.927710843,0,0.072289157,1.675249717
0.923694779,0,0.076305221,1.675249717
0.919678715,0,0.080321285,1.675249717
0.915662651,0,0.084337349,1.675249717
0.911646586,0,0.088353414,1.675249717
0.907630522,0,0.092369478,1.675249717
0.903614458,0,0.096385542,1.675249717
0.899598394,0,0.100401606,1.675249717
0.895582329,0,0.104417671,1.675249717
0.891566265,0,0.108433735,1.675249717
0.887550201,0,0.112449799,1.675249717
0.883534137,0,0.116465863,1.675249717
0.879518072,0,0.120481928,1.675249717
0.875502008,0,0.124497992,1.675249717
0.871485944,0,0.128514056,1.675249717
0.86746988,0,0.13253012,1.675249717
0.863453815,0,0.136546185,1.673462573
0.859437751,0,0.140562249,1.673462573
0.855421687,0,0.144578313,1.673462573
0.851405622,0,0.148594378,1.673462573
0.847389558,0,0.152610442,1.673462573
0.843373494,0,0.156626506,1.673462573
0.83935743,0,0.16064257,1.673462573
0.835341365,0,0.164658635,1.673462573
0.831325301,0,0.168674699,1.673462573
0.827309237,0,0.172690763,1.673462573
0.823293173,0,0.176706827,1.673462573
0.819277108,0,0.180722892,1.673462573
0.815261044,0,0.184738956,1.673462573
0.81124498,0,0.18875502,1.671476155
0.807228916,0,0.192771084,1.671476155
0.803212851,0,0.196787149,1.669196001
0.799196787,0,0.200803213,1.669196001
0.795180723,0,0.204819277,1.669196001
0.791164659,0,0.208835341,1.669196001
0.787148594,0,0.212851406,1.669196001
0.78313253,0,0.21686747,1.669196001
0.779116466,0,0.220883534,1.669196001
0.775100402,0,0.224899598,1.669196001
0.771084337,0,0.228915663,1.669196001
0.767068273,0,0.232931727,1.669196001
0.763052209,0,0.236947791,1.669196001
0.759036145,0,0.240963855,1.669196001
0.75502008,0,0.24497992,1.669196001
0.751004016,0,0.248995984,1.669196001
0.746987952,0,0.253012048,1.66686593
0.742971888,0,0.257028112,1.66686593
0.738955823,0,0.261044177,1.66686593
0.734939759,0,0.265060241,1.664581573
0.730923695,0,0.269076305,1.65561043
0.726907631,0,0.273092369,1.65561043
0.722891566,0,0.277108434,1.623340234
0.718875502,0,0.281124498,1.623340234
0.714859438,0,0.285140562,1.623340234
0.710843373,0,0.289156627,1.621134411
0.706827309,0,0.293172691,1.621134411
0.702811245,0,0.297188755,1.612187081
0.698795181,0,0.301204819,1.593438426
0.694779116,0,0.305220884,1.593438426
0.690763052,0,0.309236948,1.581256104
0.686746988,0,0.313253012,1.572093278
0.682730924,0,0.317269076,1.567600079
0.678714859,0,0.321285141,1.568634856
0.674698795,0,0.325301205,1.565085105
0.670682731,0,0.329317269,1.563850505
0.666666667,0,0.333333333,1.563838276
0.662650602,0,0.337349398,1.563693891
0.658634538,0,0.341365462,1.555763272
0.654618474,0,0.345381526,1.544437737
0.65060241,0,0.34939759,1.517427951
0.646586345,0,0.353413655,1.407659733
0.642570281,0,0.357429719,1.391567234
0.638554217,0,0.361445783,1.379998856
0.634538153,0,0.365461847,1.372696884
0.630522088,0,0.369477912,1.318563562
0.626506024,0,0.373493976,1.305160781
0.62248996,0,0.37751004,1.299795372
0.618473896,0,0.381526104,1.279291413
0.614457831,0,0.385542169,1.276647867
0.610441767,0,0.389558233,1.25605442
0.606425703,0,0.393574297,1.251821813
0.602409639,0,0.397590361,1.250588402
0.598393574,0,0.401606426,1.247304742
0.59437751,0,0.40562249,1.247476589
0.590361446,0,0.409638554,1.247476589
0.586345382,0,0.413654618,1.247511045
0.582329317,0,0.417670683,1.245816293
0.578313253,0,0.421686747,1.245105358
0.574297189,0,0.425702811,1.24406227
0.570281124,0,0.429718876,1.243728415
0.56626506,0,0.43373494,1.245982623
0.562248996,0,0.437751004,1.246431231
0.558232932,0,0.441767068,1.247628152
0.554216867,0,0.445783133,1.253811963
0.550200803,0,0.449799197,1.253905879
0.546184739,0,0.453815261,1.254274992
0.542168675,0,0.457831325,1.254274992
0.53815261,0,0.46184739,1.254477648
0.534136546,0,0.465863454,1.254573833
0.530120482,0,0.469879518,1.254938442
0.526104418,0,0.473895582,1.25597424
0.522088353,0,0.477911647,1.25851326
0.518072289,0,0.481927711,1.259688663
0.514056225,0,0.485943775,1.267217181
0.510040161,0,0.489959839,1.269942804
0.506024096,0,0.493975904,1.270587237
0.502008032,0,0.497991968,1.277187616
0.497991968,0,0.502008032,1.276924333
0.493975904,0,0.506024096,1.279324421
0.489959839,0,0.510040161,1.283311408
0.485943775,0,0.514056225,1.283299963
0.481927711,0,0.518072289,1.319561843
0.477911647,0,0.522088353,1.576624787
0.473895582,0,0.526104418,1.644135106
0.469879518,0,0.530120482,1.686149488
0.465863454,0,0.534136546,1.813905948
0.46184739,0,0.53815261,1.833746716
0.457831325,0,0.542168675,1.833746716
0.453815261,0,0.546184739,1.833746716
0.449799197,0,0.550200803,1.836111052
0.445783133,0,0.554216867,1.836111052
0.441767068,0,0.558232932,1.837053439
0.437751004,0,0.562248996,1.837053439
0.43373494,0,0.56626506,1.837053439
0.429718876,0,0.570281124,1.837053439
0.425702811,0,0.574297189,1.837034315
0.421686747,0,0.578313253,1.837034315
0.417670683,0,0.582329317,1.837034315
0.413654618,0,0.586345382,1.837015468
0.409638554,0,0.590361446,1.837001642
0.40562249,0,0.59437751,1.836988877
0.401606426,0,0.598393574,1.837339268
0.397590361,0,0.602409639,1.837673892
0.393574297,0,0.606425703,1.838122328
0.389558233,0,0.610441767,1.83806606
0.385542169,0,0.614457831,1.838024666
0.381526104,0,0.618473896,1.838008211
0.37751004,0,0.62248996,1.838458211
0.373493976,0,0.626506024,1.838458211
0.369477912,0,0.630522088,1.838458211
0.365461847,0,0.634538153,1.838452332
0.361445783,0,0.638554217,1.838452332
0.357429719,0,0.642570281,1.838452332
0.353413655,0,0.646586345,1.838408317
0.34939759,0,0.65060241,1.838387598
0.345381526,0,0.654618474,1.838387598
0.341365462,0,0.658634538,1.840409584
0.337349398,0,0.662650602,1.840393783
0.333333333,0,0.666666667,1.840393783
0.329317269,0,0.670682731,1.840393783
0.325301205,0,0.674698795,1.840393783
0.321285141,0,0.678714859,1.840393783
0.317269076,0,0.682730924,1.840387742
0.313253012,0,0.686746988,1.840387742
0.309236948,0,0.690763052,1.840387742
0.305220884,0,0.694779116,1.84193288
0.301204819,0,0.698795181,1.84193288
0.297188755,0,0.702811245,1.84193288
0.293172691,0,0.706827309,1.844804473
0.289156627,0,0.710843373,1.845760713
0.285140562,0,0.714859438,1.846228573
0.281124498,0,0.718875502,1.846228283
0.277108434,0,0.722891566,1.848119976
0.273092369,0,0.726907631,1.849006399
0.269076305,0,0.730923695,1.849006399
0.265060241,0,0.734939759,1.849007338
0.261044177,0,0.738955823,1.849007338
0.257028112,0,0.742971888,1.848130366
0.253012048,0,0.746987952,1.848069866
0.248995984,0,0.751004016,1.847203052
0.24497992,0,0.75502008,1.845484156
0.240963855,0,0.759036145,1.841149966
0.236947791,0,0.763052209,1.845435863
0.232931727,0,0.767068273,1.848822755
0.228915663,0,0.771084337,1.848822755
0.224899598,0,0.775100402,1.848775518
0.220883534,0,0.779116466,1.848775518
0.21686747,0,0.78313253,1.84873516
0.212851406,0,0.787148594,1.84872225
0.208835341,0,0.791164659,1.848703122
0.204819277,0,0.795180723,1.848703122
0.200803213,0,0.799196787,1.848703122
0.196787149,0,0.803212851,1.848670543
0.192771084,0,0.807228916,1.848666529
0.18875502,0,0.81124498,1.848666529
0.184738956,0,0.815261044,1.848666529
0.180722892,0,0.819277108,1.848666185
0.176706827,0,0.823293173,1.848666185
0.172690763,0,0.827309237,1.848666185
0.168674699,0,0.831325301,1.848666185
0.164658635,0,0.835341365,1.848666185
0.16064257,0,0.83935743,1.848666185
0.156626506,0,0.843373494,1.848666185
0.152610442,0,0.847389558,1.848666185
0.148594378,0,0.851405622,1.848666185
0.144578313,0,0.855421687,1.848666185
0.140562249,0,0.859437751,1.848666185
0.136546185,0,0.863453815,1.848666682
0.13253012,0,0.86746988,1.848666682
0.128514056,0,0.871485944,1.848671808
0.124497992,0,0.875502008,1.848678455
0.120481928,0,0.879518072,1.848678474
0.116465863,0,0.883534137,1.848678474
0.112449799,0,0.887550201,1.848678474
0.108433735,0,0.891566265,1.848678474
0.104417671,0,0.895582329,1.848678474
0.100401606,0,0.899598394,1.848678474
0.096385542,0,0.903614458,1.848678474
0.092369478,0,0.907630522,1.848678474
0.088353414,0,0.911646586,1.848678474
0.084337349,0,0.915662651,1.848678474
0.080321285,0,0.919678715,1.848678474
0.076305221,0,0.923694779,1.848678474
0.072289157,0,0.927710843,1.848678474
0.068273092,0,0.931726908,1.848678474
0.064257028,0,0.935742972,1.848678474
0.060240964,0,0.939759036,1.848678474
0.0562249,0,0.9437751,1.848678474
0.052208835,0,0.947791165,1.848678474
0.048192771,0,0.951807229,1.848678474
0.044176707,0,0.955823293,1.848678474
0.040160643,0,0.959839357,1.848678474
0.036144578,0,0.963855422,1.848678474
0.032128514,0,0.967871486,1.848678474
0.02811245,0,0.97188755,1.848678474
0.024096386,0,0.975903614,1.848678474
0.020080321,0,0.979919679,1.848678474
0.016064257,0,0.983935743,1.848678474
0.012048193,0,0.987951807,1.848678474
0.008032129,0,0.991967871,1.848678474
0.004016064,0,0.995983936,1.848678474
0,0,1,1.848678474
0.995983936,0.004016064,0,1.675249717
0.991967871,0.004016064,0.004016064,1.675249717
0.987951807,0.004016064,0.008032129,1.675249717
0.983935743,0.004016064,0.012048193,1.675249717
0.979919679,0.004016064,0.016064257,1.675249717
0.975903614,0.004016064,0.020080321,1.675249717
0.97188755,0.004016064,0.024096386,1.675249717
0.967871486,0.004016064,0.02811245,1.675249717
0.963855422,0.004016064,0.032128514,1.675249717
0.959839357,0.004016064,0.036144578,1.675249717
0.955823293,0.004016064,0.040160643,1.675249717
0.951807229,0.004016064,0.044176707,1.675249717
0.947791165,0.004016064,0.048192771,1.675249717
0.9437751,0.004016064,0.052208835,1.675249717
0.939759036,0.004016064,0.0562249,1.675249717
0.935742972,0.004016064,0.060240964,1.675249717
0.931726908,0.004016064,0.064257028,1.675249717
0.927710843,0.004016064,0.068273092,1.675249717
0.923694779,0.004016064,0.072289157,1.675249717
0.919678715,0.004016064,0.076305221,1.675249717
0.915662651,0.004016064,0.080321285,1.675249717
0.911646586,0.004016064,0.084337349,1.675249717
0.907630522,0.004016064,0.088353414,1.675249717
0.903614458,0.004016064,0.092369478,1.675249717
0.899598394,0.004016064,0.096385542,1.675249717
0.895582329,0.004016064,0.100401606,1.675249717
0.891566265,0.004016064,0.104417671,1.675249717
0.887550201,0.004016064,0.108433735,1.675249717
0.883534137,0.004016064,0.112449799,1.675249717
0.879518072,0.004016064,0.116465863,1.675249717
0.875502008,0.004016064,0.120481928,1.675249717
0.871485944,0.004016064,0.124497992,1.675249717
0.86746988,0.004016064,0.128514056,1.675249717
0.863453815,0.004016064,0.13253012,1.675249717
0.859437751,0.004016064,0.136546185,1.673462573
0.855421687,0.004016064,0.140562249,1.673462573
0.851405622,0.004016064,0.144578313,1.673462573
0.847389558,0.004016064,0.148594378,1.673462573
0.843373494,0.004016064,0.152610442,1.673462573
0.83935743,0.004016064,0.156626506,1.673462573
0.835341365,0.004016064,0.16064257,1.673462573
0.831325301,0.004016064,0.164658635,1.673462573
0.827309237,0.004016064,0.168674699,1.673462573
0.823293173,0.004016064,0.172690763,1.673462573
0.819277108,0.004016064,0.176706827,1.673462573
