Mn,Fe,Co,log(Preexponential Factor) (Ω·cm2·K-1)
1,0,0,-10.57928844
0.995983936,0,0.004016064,-10.57928844
0.991967871,0,0.008032129,-10.57928844
0.987951807,0,0.012048193,-10.57928844
0.983935743,0,0.016064257,-10.57928844
0.979919679,0,0.020080321,-10.57928844
0.975903614,0,0.024096386,-10.57928844
0.97188755,0,0.02811245,-10.57928844
0.967871486,0,0.032128514,-10.57928844
0.963855422,0,0.036144578,-10.57928844
0.959839357,0,0.040160643,-10.57928844
0.955823293,0,0.044176707,-10.57928844
0.951807229,0,0.048192771,-10.57928844
0.947791165,0,0.052208835,-10.57928844
0.9437751,0,0.0562249,-10.57928844
0.939759036,0,0.060240964,-10.57928844
0.935742972,0,0.064257028,-10.57928844
0.931726908,0,0.068273092,-10.57928844
0.927710843,0,0.072289157,-10.57928844
0.923694779,0,0.076305221,-10.57928844
0.919678715,0,0.080321285,-10.57928844
0.915662651,0,0.084337349,-10.57928844
0.911646586,0,0.088353414,-10.57928844
0.907630522,0,0.092369478,-10.57928844
0.903614458,0,0.096385542,-10.57928844
0.899598394,0,0.100401606,-10.57928844
0.895582329,0,0.104417671,-10.57928844
0.891566265,0,0.108433735,-10.57928844
0.887550201,0,0.112449799,-10.57928844
0.883534137,0,0.116465863,-10.57928844
0.879518072,0,0.120481928,-10.57928844
0.875502008,0,0.124497992,-10.57928844
0.871485944,0,0.128514056,-10.57928844
0.86746988,0,0.13253012,-10.57928844
0.863453815,0,0.136546185,-10.56994198
0.859437751,0,0.140562249,-10.56994198
0.855421687,0,0.144578313,-10.56994198
0.851405622,0,0.148594378,-10.56994198
0.847389558,0,0.152610442,-10.56994198
0.843373494,0,0.156626506,-10.56994198
0.83935743,0,0.16064257,-10.56994198
0.835341365,0,0.164658635,-10.56994198
0.831325301,0,0.168674699,-10.56994198
0.827309237,0,0.172690763,-10.56994198
0.823293173,0,0.176706827,-10.56994198
0.819277108,0,0.180722892,-10.56994198
0.815261044,0,0.184738956,-10.56994198
0.81124498,0,0.18875502,-10.55976713
0.807228916,0,0.192771084,-10.55976713
0.803212851,0,0.196787149,-10.54845704
0.799196787,0,0.200803213,-10.54845704
0.795180723,0,0.204819277,-10.54845704
0.791164659,0,0.208835341,-10.54845704
0.787148594,0,0.212851406,-10.54845704
