Mn,Fe,Co,Area Specific Resistance at 700C - ASR_700 C (ohm cm^2)
1,0,0,12.15414588
0.995983936,0,0.004016064,12.15414588
0.991967871,0,0.008032129,12.15414588
0.987951807,0,0.012048193,12.15414588
0.983935743,0,0.016064257,12.15414588
0.979919679,0,0.020080321,12.15414588
0.975903614,0,0.024096386,12.15414588
0.97188755,0,0.02811245,12.15414588
0.967871486,0,0.032128514,12.15414588
0.963855422,0,0.036144578,12.15414588
0.959839357,0,0.040160643,12.15414588
0.955823293,0,0.044176707,12.15414588
0.951807229,0,0.048192771,12.15414588
0.947791165,0,0.052208835,12.15414588
0.9437751,0,0.0562249,12.15414588
0.939759036,0,0.060240964,12.15414588
0.935742972,0,0.064257028,12.15414588
0.931726908,0,0.068273092,12.15414588
0.927710843,0,0.072289157,12.15414588
0.923694779,0,0.076305221,12.15414588
0.919678715,0,0.080321285,12.15414588
0.915662651,0,0.084337349,12.15414588
0.911646586,0,0.088353414,12.15414588
0.907630522,0,0.092369478,12.15414588
0.903614458,0,0.096385542,12.15414588
0.899598394,0,0.100401606,12.15414588
0.895582329,0,0.104417671,12.15414588
0.891566265,0,0.108433735,12.15414588
0.887550201,0,0.112449799,12.15414588
0.883534137,0,0.116465863,12.15414588
0.879518072,0,0.120481928,12.15414588
0.875502008,0,0.124497992,12.15414588
0.871485944,0,0.128514056,12.15414588
0.86746988,0,0.13253012,12.15414588
0.863453815,0,0.136546185,12.15669708
0.859437751,0,0.140562249,12.15669708
0.855421687,0,0.144578313,12.15669708
0.851405622,0,0.148594378,12.15669708
0.847389558,0,0.152610442,12.15669708
0.843373494,0,0.156626506,12.15669708
0.83935743,0,0.16064257,12.15669708
0.835341365,0,0.164658635,12.15669708
0.831325301,0,0.168674699,12.15669708
0.827309237,0,0.172690763,12.15669708
0.823293173,0,0.176706827,12.15669708
0.819277108,0,0.180722892,12.15669708
0.815261044,0,0.184738956,12.15669708
0.81124498,0,0.18875502,12.15354891
0.807228916,0,0.192771084,12.15354891
0.803212851,0,0.196787149,12.13960845
0.799196787,0,0.200803213,12.13960845
0.795180723,0,0.204819277,12.13960845
0.791164659,0,0.208835341,12.13960845
0.787148594,0,0.212851406,12.13960845
0.78313253,0,0.21686747,12.13960845
0.779116466,0,0.220883534,12.13960845
0.775100402,0,0.224899598,12.13960845
0.771084337,0,0.228915663,12.13960845
0.767068273,0,0.232931727,12.13960845
0.763052209,0,0.236947791,12.13960845
0.759036145,0,0.240963855,12.13960845
0.75502008,0,0.24497992,12.13960845
0.751004016,0,0.248995984,12.13960845
0.746987952,0,0.253012048,12.11818725
0.742971888,0,0.257028112,12.11818725
0.738955823,0,0.261044177,12.11818725
0.734939759,0,0.265060241,12.10045986
0.730923695,0,0.269076305,12.00448626
0.726907631,0,0.273092369,12.00448626
0.722891566,0,0.277108434,11.68009961
0.718875502,0,0.281124498,11.68009961
0.714859438,0,0.285140562,11.68009961
0.710843373,0,0.289156627,11.65914453
0.706827309,0,0.293172691,11.65914453
0.702811245,0,0.297188755,11.53739134
0.698795181,0,0.301204819,11.32471435
0.694779116,0,0.305220884,11.32471435
0.690763052,0,0.309236948,11.17106422
0.686746988,0,0.313253012,11.01365517
0.682730924,0,0.317269076,10.96631121
0.678714859,0,0.321285141,10.96442408
0.674698795,0,0.325301205,10.92392432
0.670682731,0,0.329317269,10.9305191
0.666666667,0,0.333333333,10.93058172
0.662650602,0,0.337349398,10.92926714
0.658634538,0,0.341365462,10.84968917
0.654618474,0,0.345381526,10.79111676
0.65060241,0,0.34939759,10.64067399
0.646586345,0,0.353413655,10.34328931
0.642570281,0,0.357429719,10.24982134
0.638554217,0,0.361445783,10.18345869
0.634538153,0,0.365461847,10.13472538
0.630522088,0,0.369477912,9.697616842
0.626506024,0,0.373493976,9.614879961
0.62248996,0,0.37751004,9.582312701
0.618473896,0,0.381526104,9.405882952
0.614457831,0,0.385542169,9.376285102
0.610441767,0,0.389558233,9.182174983
0.606425703,0,0.393574297,9.166834295
0.602409639,0,0.397590361,9.128103597
0.598393574,0,0.401606426,8.980538162
0.59437751,0,0.40562249,8.959252664
0.590361446,0,0.409638554,8.959252664
0.586345382,0,0.413654618,8.892061896
0.582329317,0,0.417670683,8.794828521
0.578313253,0,0.421686747,8.749198319
0.574297189,0,0.425702811,8.481542341
0.570281124,0,0.429718876,8.455765414
0.56626506,0,0.43373494,8.394465513
0.562248996,0,0.437751004,8.361611633
0.558232932,0,0.441767068,8.340977636
0.554216867,0,0.445783133,8.210990786
0.550200803,0,0.449799197,8.168957884
0.546184739,0,0.453815261,8.162476995
0.542168675,0,0.457831325,8.162476995
0.53815261,0,0.46184739,8.170944843
0.534136546,0,0.465863454,8.160771848
0.530120482,0,0.469879518,8.16757711
0.526104418,0,0.473895582,8.176306574
0.522088353,0,0.477911647,8.16297956
0.518072289,0,0.481927711,8.152101385
0.514056225,0,0.485943775,8.201493008
0.510040161,0,0.489959839,8.253439687
0.506024096,0,0.493975904,8.373207464
0.502008032,0,0.497991968,8.416022346
0.497991968,0,0.502008032,8.42735153
0.493975904,0,0.506024096,8.410296238
0.489959839,0,0.510040161,8.361903257
0.485943775,0,0.514056225,8.361122247
0.481927711,0,0.518072289,8.371081059
