Mn,Fe,Co,log(k*)400ºC (cm/s)
1,0,0,-11.07653917
0.995983936,0,0.004016064,-11.07653917
0.991967871,0,0.008032129,-11.07653917
0.987951807,0,0.012048193,-11.07653917
0.983935743,0,0.016064257,-11.07653917
0.979919679,0,0.020080321,-11.07653917
0.975903614,0,0.024096386,-11.07653917
0.97188755,0,0.02811245,-11.07653917
0.967871486,0,0.032128514,-11.07653917
0.963855422,0,0.036144578,-11.07653917
0.959839357,0,0.040160643,-11.07653917
0.955823293,0,0.044176707,-11.07653917
0.951807229,0,0.048192771,-11.07653917
0.947791165,0,0.052208835,-11.07653917
0.9437751,0,0.0562249,-11.07653917
0.939759036,0,0.060240964,-11.07653917
0.935742972,0,0.064257028,-11.07653917
0.931726908,0,0.068273092,-11.07653917
0.927710843,0,0.072289157,-11.07653917
0.923694779,0,0.076305221,-11.07653917
0.919678715,0,0.080321285,-11.07653917
0.915662651,0,0.084337349,-11.07653917
0.911646586,0,0.088353414,-11.07653917
0.907630522,0,0.092369478,-11.07653917
0.903614458,0,0.096385542,-11.07653917
0.899598394,0,0.100401606,-11.07653917
0.895582329,0,0.104417671,-11.07653917
0.891566265,0,0.108433735,-11.07653917
0.887550201,0,0.112449799,-11.07653917
0.883534137,0,0.116465863,-11.07653917
0.879518072,0,0.120481928,-11.07653917
0.875502008,0,0.124497992,-11.07653917
0.871485944,0,0.128514056,-11.07653917
0.86746988,0,0.13253012,-11.07653917
0.863453815,0,0.136546185,-11.07634916
0.859437751,0,0.140562249,-11.07634916
0.855421687,0,0.144578313,-11.07634916
0.851405622,0,0.148594378,-11.07634916
0.847389558,0,0.152610442,-11.07634916
0.843373494,0,0.156626506,-11.07634916
0.83935743,0,0.16064257,-11.07634916
0.835341365,0,0.164658635,-11.07634916
0.831325301,0,0.168674699,-11.07634916
0.827309237,0,0.172690763,-11.07634916
0.823293173,0,0.176706827,-11.07634916
0.819277108,0,0.180722892,-11.07634916
0.815261044,0,0.184738956,-11.07634916
0.81124498,0,0.18875502,-11.07592068
0.807228916,0,0.192771084,-11.07592068
0.803212851,0,0.196787149,-11.07519406
0.799196787,0,0.200803213,-11.07519406
0.795180723,0,0.204819277,-11.07519406
0.791164659,0,0.208835341,-11.07519406
0.787148594,0,0.212851406,-11.07519406
0.78313253,0,0.21686747,-11.07519406
0.779116466,0,0.220883534,-11.07519406
0.775100402,0,0.224899598,-11.07519406
0.771084337,0,0.228915663,-11.07519406
0.767068273,0,0.232931727,-11.07519406
0.763052209,0,0.236947791,-11.07519406
0.759036145,0,0.240963855,-11.07519406
0.75502008,0,0.24497992,-11.07519406
0.751004016,0,0.248995984,-11.07519406
0.746987952,0,0.253012048,-11.0720685
0.742971888,0,0.257028112,-11.0720685
0.738955823,0,0.261044177,-11.0720685
0.734939759,0,0.265060241,-11.0687077
0.730923695,0,0.269076305,-11.05805694
0.726907631,0,0.273092369,-11.05805694
0.722891566,0,0.277108434,-11.01370074
0.718875502,0,0.281124498,-11.01370074
0.714859438,0,0.285140562,-11.01370074
0.710843373,0,0.289156627,-11.01048934
0.706827309,0,0.293172691,-11.01048934
0.702811245,0,0.297188755,-10.99138558
0.698795181,0,0.301204819,-10.94617645
0.694779116,0,0.305220884,-10.94617645
0.690763052,0,0.309236948,-10.90335408
0.686746988,0,0.313253012,-10.8582167
0.682730924,0,0.317269076,-10.83856231
0.678714859,0,0.321285141,-10.83904818
0.674698795,0,0.325301205,-10.82984748
0.670682731,0,0.329317269,-10.82951595
0.666666667,0,0.333333333,-10.82835876
0.662650602,0,0.337349398,-10.82377324
0.658634538,0,0.341365462,-10.80161466
0.654618474,0,0.345381526,-10.78288778
0.65060241,0,0.34939759,-10.73729846
0.646586345,0,0.353413655,-10.65562488
0.642570281,0,0.357429719,-10.61298886
0.638554217,0,0.361445783,-10.60119576
0.634538153,0,0.365461847,-10.58936066
0.630522088,0,0.369477912,-10.48067154
0.626506024,0,0.373493976,-10.46277925
0.62248996,0,0.37751004,-10.45171916
0.618473896,0,0.381526104,-10.40839789
0.614457831,0,0.385542169,-10.40227978
0.610441767,0,0.389558233,-10.33981713
0.606425703,0,0.393574297,-10.31228723
0.602409639,0,0.397590361,-10.30192246
0.598393574,0,0.401606426,-10.27607859
0.59437751,0,0.40562249,-10.26437172
0.590361446,0,0.409638554,-10.26437172
0.586345382,0,0.413654618,-10.245949
0.582329317,0,0.417670683,-10.22207632
0.578313253,0,0.421686747,-10.21399305
0.574297189,0,0.425702811,-10.14539992
0.570281124,0,0.429718876,-10.1420566
0.56626506,0,0.43373494,-10.13084601
0.562248996,0,0.437751004,-10.13527862
0.558232932,0,0.441767068,-10.1380038
0.554216867,0,0.445783133,-10.13321714
0.550200803,0,0.449799197,-10.12640621
0.546184739,0,0.453815261,-10.12575994
0.542168675,0,0.457831325,-10.12575994
0.53815261,0,0.46184739,-10.12398262
0.534136546,0,0.465863454,-10.12264886
0.530120482,0,0.469879518,-10.12121604
0.526104418,0,0.473895582,-10.1112999
0.522088353,0,0.477911647,-10.10371865
0.518072289,0,0.481927711,-10.1001156
0.514056225,0,0.485943775,-10.07914009
0.510040161,0,0.489959839,-10.05652702
0.506024096,0,0.493975904,-10.04064
0.502008032,0,0.497991968,-10.03129267
0.497991968,0,0.502008032,-10.02285632
0.493975904,0,0.506024096,-10.02002226
0.489959839,0,0.510040161,-9.955486935
0.485943775,0,0.514056225,-9.953396523
0.481927711,0,0.518072289,-9.881992206
0.477911647,0,0.522088353,-9.524778116
0.473895582,0,0.526104418,-9.436447964
0.469879518,0,0.530120482,-9.386841213
0.465863454,0,0.534136546,-9.212555899
0.46184739,0,0.53815261,-9.187413875
0.457831325,0,0.542168675,-9.187413875
0.453815261,0,0.546184739,-9.187413875
0.449799197,0,0.550200803,-9.182528399
0.445783133,0,0.554216867,-9.182528399
0.441767068,0,0.558232932,-9.180127944
0.437751004,0,0.562248996,-9.180127944
0.43373494,0,0.56626506,-9.180127944
0.429718876,0,0.570281124,-9.180127944
0.425702811,0,0.574297189,-9.178653435
0.421686747,0,0.578313253,-9.178653435
0.417670683,0,0.582329317,-9.178653435
0.413654618,0,0.586345382,-9.17706386
0.409638554,0,0.590361446,-9.175798723
0.40562249,0,0.59437751,-9.17484787
0.401606426,0,0.598393574,-9.16021559
0.397590361,0,0.602409639,-9.144534794
0.393574297,0,0.606425703,-9.140471533
0.389558233,0,0.610441767,-9.134667266
0.385542169,0,0.614457831,-9.128647053
0.381526104,0,0.618473896,-9.126737617
0.37751004,0,0.62248996,-9.122419533
0.373493976,0,0.626506024,-9.122419533
0.369477912,0,0.630522088,-9.122419533
0.365461847,0,0.634538153,-9.121480811
0.361445783,0,0.638554217,-9.121480811
0.357429719,0,0.642570281,-9.121480811
0.353413655,0,0.646586345,-9.114551662
0.34939759,0,0.65060241,-9.1116846
0.345381526,0,0.654618474,-9.1116846
0.341365462,0,0.658634538,-9.109302187
0.337349398,0,0.662650602,-9.10784114
0.333333333,0,0.666666667,-9.10784114
0.329317269,0,0.670682731,-9.10784114
0.325301205,0,0.674698795,-9.10784114
0.321285141,0,0.678714859,-9.10784114
0.317269076,0,0.682730924,-9.105998798
0.313253012,0,0.686746988,-9.105998798
0.309236948,0,0.690763052,-9.105998798
0.305220884,0,0.694779116,-9.10485291
0.301204819,0,0.698795181,-9.10485291
0.297188755,0,0.702811245,-9.10485291
0.293172691,0,0.706827309,-9.10137841
0.289156627,0,0.710843373,-9.100077583
0.285140562,0,0.714859438,-9.098331882
0.281124498,0,0.718875502,-9.095983394
0.277108434,0,0.722891566,-9.088453019
0.273092369,0,0.726907631,-9.066996545
0.269076305,0,0.730923695,-9.066996545
0.265060241,0,0.734939759,-9.063904271
0.261044177,0,0.738955823,-9.063904271
0.257028112,0,0.742971888,-9.056700219
0.253012048,0,0.746987952,-8.999198559
0.248995984,0,0.751004016,-8.99458686
0.24497992,0,0.75502008,-8.984971703
0.240963855,0,0.759036145,-8.975733716
0.236947791,0,0.763052209,-8.965208711
0.232931727,0,0.767068273,-8.955726452
